"类别","组件/函数","说明","示例代码片段"
"基础窗口","tk.Tk()","创建主窗口","root = tk.Tk(); root.title(""App"")"
"基础窗口","mainloop()","启动事件循环","root.mainloop()"
"基础窗口","geometry(""WxH"")","设置窗口大小","root.geometry(""400x300"")"
"基础窗口","configure(bg='color')","设置背景色","root.configure(bg='lightblue')"
"标签","tk.Label(parent, text=""..."")","显示静态文本","label = tk.Label(root, text=""Hello"")"
"按钮","tk.Button(parent, text=""..."", command=func)","点击触发函数","btn = tk.Button(root, text=""Click"", command=on_click)"
"输入框","tk.Entry(parent)","单行文本输入","entry = tk.Entry(root); entry.get() 获取内容"
"多行文本","tk.Text(parent)","多行可编辑文本","text = tk.Text(root); text.insert('1.0', ""Hi""); text.get('1.0', 'end')"
"复选框","tk.Checkbutton(parent, text, variable=bool_var)","勾选框","var = tk.BooleanVar(); cb = tk.Checkbutton(root, text=""Enable"", variable=var)"
"单选框","tk.Radiobutton(parent, text, variable, value)","单选组","v = tk.StringVar(); r1 = tk.Radiobutton(root, text=""A"", variable=v, value=""a"")"
"列表框","tk.Listbox(parent)","显示选项列表","lb = tk.Listbox(root); lb.insert(0, ""Item1""); lb.curselection() 获取选中索引"
"下拉菜单","ttk.Combobox(parent, values=[...])","需 from tkinter import ttk","combo = ttk.Combobox(root, values=[""A"",""B""]); combo.get()"
"滑动条","tk.Scale(parent, from_, to, orient=tk.HORIZONTAL)","数值滑块","scale = tk.Scale(root, from_=0, to=100, orient=tk.HORIZONTAL)"
"消息弹窗","messagebox.showinfo(title, message)","信息提示框","from tkinter import messagebox; messagebox.showinfo(""Tip"", ""Done!"")"
"消息弹窗","messagebox.askyesno(title, message)","确认对话框","if messagebox.askyesno(""Exit"", ""Sure?""): root.destroy()"
"文件选择","filedialog.askopenfilename()","打开文件对话框","from tkinter import filedialog; path = filedialog.askopenfilename()"
"文件选择","filedialog.asksaveasfilename()","保存文件对话框","path = filedialog.asksaveasfilename(defaultextension="".txt"")"
"布局管理","pack()","自动排列组件","btn.pack(pady=10)"
"布局管理","grid(row=0, column=1)","网格布局","label.grid(row=0, column=0); entry.grid(row=0, column=1)"
"布局管理","place(x=50, y=100)","绝对定位","widget.place(x=50, y=100)"
"变量绑定","StringVar()/IntVar()/BooleanVar()","跟踪变量变化","var = tk.StringVar(); var.set(""new""); label = tk.Label(textvariable=var)"
"事件绑定","bind(""<Button-1>"", func)","绑定鼠标左键点击","widget.bind(""<Button-1>"", on_click)"
"事件绑定","bind(""<Return>"", func)","绑定回车键","entry.bind(""<Return>"", on_enter)"
"图标与标题","iconbitmap(""icon.ico"")","设置窗口图标（仅 Windows）","root.iconbitmap(""app.ico"")"
"退出程序","destroy()","关闭窗口","root.destroy()"
"禁用组件","config(state='disabled')","灰显不可用","btn.config(state='disabled')"
"启用组件","config(state='normal')","恢复可用","btn.config(state='normal')"
"更新界面","update()","强制刷新界面","root.update()"
