"函数名","说明","示例"
"abs(x)","绝对值","abs(-5) → 5"
"round(x, n)","四舍五入到 n 位小数","round(3.1415, 2) → 3.14"
"pow(x, y[, z])","幂运算（x**y）或模幂（(x**y) % z）","pow(2,3) → 8；pow(2,3,5) → 3"
"min(iterable)","返回可迭代对象中的最小值","min([3,1,2]) → 1"
"max(iterable)","返回可迭代对象中的最大值","max([3,1,2]) → 3"
"sum(iterable, start)","对可迭代对象求和，start 为初始值","sum([1,2,3]) → 6"
"divmod(a, b)","返回 (a // b, a % b) 的元组","divmod(9,4) → (2,1)"
"all(iterable)","所有元素为真（或空）时返回 True","all([True, 1]) → True"
"any(iterable)","任一元素为真时返回 True","any([0, '', 1]) → True"
"enumerate(iterable, start)","返回带索引的枚举对象","for i,x in enumerate(['a']): ..."
"zip(*iterables)","并行迭代多个可迭代对象","zip([1,2], ['a','b']) → ,(2,'b')]"
"map(func, iterable)","将函数映射到每个元素","map(str, [1,2]) → ['1','2']"
"filter(func, iterable)","过滤满足条件的元素","filter(lambda x: x>0, [-1,2]) → [2]"
"sorted(iterable, key, reverse)","返回排序后的新列表（不修改原对象）","sorted([3,1,2]) → [1,2,3]"
"reversed(seq)","返回反向迭代器","list(reversed([1,2])) → [2,1]"
"range(stop)","生成整数序列（左闭右开区间）","range(3) → range 对象（等价于 [0,1,2]）"
"iter(obj)","获取对象的迭代器","it = iter([1,2])"
"next(iterator, default)","从迭代器中取出下一个元素","next(it) → 1"
"callable(obj)","判断对象是否可调用（如函数、类等）","callable(print) → True"
"chr(i)","将 Unicode 码位转为对应字符","chr(65) → 'A'"
"ord(c)","将字符转为其 Unicode 码位","ord('A') → 65"
"hex(x)/oct(x)/bin(x)","分别返回十六进制、八进制、二进制字符串","hex(255) → '0xff'"
"repr(obj)","返回对象的“官方”字符串表示（可用于 eval）","repr('hi') → ""'hi'"""
"eval(expr)","执行字符串形式的 Python 表达式","eval('2+3') → 5"
"exec(code)","执行字符串形式的 Python 语句","exec('x=1')"
"globals()","返回当前全局符号表（字典）","globals()['x'] = 10"
"locals()","返回当前局部符号表（字典）","locals().keys()"
"vars(obj)","返回对象的 __dict__ 属性（若存在）","vars(str)"
"dir(obj)","列出对象的所有属性和方法名","dir([])"
"help(obj)","在控制台显示对象的帮助文档","help(list.append)"
"id(obj)","返回对象的唯一标识（内存地址）","id([]) → 140234567890"
"hash(obj)","返回对象的哈希值（仅限不可变类型）","hash('abc')"
"input(prompt)","从标准输入读取一行（返回字符串）","name = input('Name? ')"
"print(*objs, sep, end)","输出对象到标准输出","print('a', 'b', sep='-')"
"open(file, mode)","打开文件并返回文件对象","f = open('a.txt', 'r')"

