"序列类型","切片表达式","说明","示例（以 data = [0,1,2,3,4] 为例）"
"通用语法","seq[start:stop:step]","start 包含，stop 不包含，step 为步长","data[1:4:1] → [1,2,3]"
"省略 start","data[:stop]","从开头到 stop（不含 stop）","data[:3] → [0,1,2]"
"省略 stop","data[start:]","从 start 到末尾","data[2:] → [2,3,4]"
"全省略","data[:]","返回完整浅拷贝（新对象）","data[:] → [0,1,2,3,4]"
"负索引","data[-1]","获取最后一个元素","data[-1] → 4"
"负索引范围","data[-3:-1]","从倒数第3个到倒数第1个（不含）","data[-3:-1] → [2,3]"
"步长为正","data[::2]","每隔一个元素取一个（步长=2）","data[::2] → [0,2,4]"
"步长为负","data[::-1]","反转整个序列","data[::-1] → [4,3,2,1,0]"
"步长为负 + 范围","data[3:0:-1]","从索引3反向取到索引1（不含0）","data[3:0:-1] → [3,2,1]"
"字符串切片","s[1:4]","字符串同样支持切片","'hello'[1:4] → 'ell'"
"元组切片","t[1:3]","对元组切片返回新元组","(10,20,30)[1:3] → (20,30)"
"越界安全","任意越界切片","不会抛出 IndexError，返回空或截断结果","data[100:] → []"
"多维切片（NumPy 风格）","arr[:, 1]","二维：所有行，第1列（需 NumPy 库）","仅作提示，标准 Python 不支持此语法"
"注意事项","切片返回新对象","原序列不会被修改","l2 = l[1:]; l2.append(9) 不影响 l"
