"类别","操作/函数","说明","示例"
"变量与通用","len(obj)","获取长度或元素个数","len([1,2]) → 2；len(""ab"") → 2"
"变量与通用","type(obj)","查看对象类型","type([]) → <class 'list'>"
"变量与通用","isinstance(obj, class)","类型检查","isinstance([], list) → True"
"变量与通用","copy.copy(obj)","浅拷贝（需 import copy）","import copy; b = copy.copy(a)"
"变量与通用","copy.deepcopy(obj)","深拷贝（需 import copy）","deep_b = copy.deepcopy(nested_list)"
"列表 - 创建","list(iterable)","从可迭代对象创建列表","list(""abc"") → ['a','b','c']"
"列表 - 添加","append(x)","末尾添加一个元素","l.append(1)"
"列表 - 添加","extend(iterable)","追加多个元素","l.extend([2,3])"
"列表 - 插入","insert(i, x)","在索引 i 处插入元素","l.insert(0, 'start')"
"列表 - 删除","remove(x)","移除第一个值为 x 的元素","l.remove('start')"
"列表 - 删除","pop([i])","移除并返回索引 i 元素（默认最后一个）","l.pop()"
"列表 - 删除","clear()","清空列表","l.clear()"
"列表 - 修改","sort(key=None, reverse=False)","原地排序","l.sort()"
"列表 - 修改","reverse()","原地反转列表","l.reverse()"
"列表 - 查询","index(x)","返回 x 首次出现的索引","l.index('a')"
"列表 - 查询","count(x)","统计 x 出现的次数","l.count('a')"
"字典 - 创建","dict(**kw or iterable)","通过关键字或键值对序列创建字典","dict(a=1) 或 dict([('a',1)])"
"字典 - 获取","get(key, default)","安全获取值，不存在时返回默认值","d.get('x', 0)"
"字典 - 获取","keys()/values()/items()","分别返回键、值、键值对的动态视图","d.keys() → dict_keys(['a'])"
"字典 - 添加/更新","update(other)","用另一个字典或键值对更新当前字典","d.update({'b':2})"
"字典 - 设置","setdefault(key, default)","若 key 不存在，则设为 default 并返回","d.setdefault('c', 3)"
"字典 - 删除","pop(key, default)","移除 key 并返回其值","d.pop('a')"
"字典 - 删除","popitem()","移除并返回最后一项（Python 3.7+ 保持插入顺序）","d.popitem()"
"字典 - 删除","clear()","清空字典","d.clear()"
"字符串 - 转换","str(obj)","将任意对象转换为字符串","str(123) → ""123"""
"字符串 - 拆分","split(sep)","按分隔符切分为列表","'a,b'.split(',') → ['a','b']"
"字符串 - 拼接","join(iterable)","用当前字符串连接可迭代对象中的元素","'-'.join(['a','b']) → 'a-b'"
"字符串 - 清理","strip()/lstrip()/rstrip()","去除首尾/左侧/右侧空白字符","' a '.strip() → 'a'"
"字符串 - 查找","find(sub)/index(sub)","查找子串位置（find 未找到返回 -1，index 抛异常）","'abc'.find('b') → 1"
"字符串 - 替换","replace(old, new)","替换所有 old 子串为 new","'abc'.replace('a','x')"
"字符串 - 判断","startswith()/endswith()","判断是否以指定前缀/后缀开头或结尾","'file.txt'.endswith('.txt') → True"
"字符串 - 判断","isalpha()/isdigit()/isalnum()","判断是否全为字母/数字/字母或数字","'123'.isdigit() → True；'a1'.isalnum() → True"
"集合 - 创建","set(iterable)","从可迭代对象创建集合（自动去重）","set([1,1,2]) → {1,2}"
"集合 - 操作","add(x)/remove(x)/discard(x)","添加、移除（不存在报错）、移除（不存在不报错）","s.add(3); s.discard(99)"
"集合 - 运算","union/intersection/difference","并集、交集、差集（支持运算符 | & -）","s1 | s2, s1 & s2, s1 - s2"
"JSON 库","json.dumps(obj)","将 Python 对象序列化为 JSON 字符串","json.dumps({'a':1}) → '{""a"": 1}'"
"JSON 库","json.loads(s)","将 JSON 字符串反序列化为 Python 对象","json.loads('{""a"":1}') → {'a':1}"
"JSON 库","json.dump(obj, file)","将对象写入文件（需已打开的文件对象）","json.dump(data, f)"
"JSON 库","json.load(file)","从文件读取 JSON 数据","data = json.load(f)"
